@relation validationSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
3648699,0.15672167,0.06529923,0.02121521,0.84327833,1.00000000,0.99927904,0.00070998,1095.0,182.0,22.0,2.13789954,0.39422448,2.03296703,0.17855029,2.00000000,0.00000000,0.99915843,0.00029242,0.99886753,0.00028530,0.99852839,0.00030386,0.99900814,0.00037357,0.99873923,0.00037244,0.99838583,0.00041885,7.12831050,4.97651768,0
3648701,0.15815131,0.06645766,0.02160132,0.84184869,1.00000000,1.00017605,0.00019609,1182.0,243.0,25.0,2.14890017,0.40281746,2.04526749,0.20789022,2.00000000,0.00000000,0.99977270,0.00009508,0.99969631,0.00010496,0.99958750,0.00007983,0.99973038,0.00011397,0.99966240,0.00011505,0.99956131,0.00008888,7.09008608,5.03234297,0
3648712,0.15659434,0.06567295,0.02119246,0.84340566,1.00000000,0.99894607,0.00618929,1204.0,244.0,39.0,2.24169435,0.54731825,2.13934426,0.41122715,2.17948718,0.44559352,0.99918124,0.00622031,0.99876747,0.00628145,0.99648310,0.00535388,0.99893051,0.00625849,0.99853506,0.00630662,0.99644647,0.00529605,7.27203693,5.14856689,0
3648713,0.15553664,0.06414364,0.02084168,0.84446336,1.00000000,0.99905744,0.00048966,1093.0,209.0,13.0,2.15462031,0.40453645,2.04784689,0.21344218,2.00000000,0.00000000,0.99943787,0.00021492,0.99925190,0.00022084,0.99906541,0.00024590,0.99932956,0.00027467,0.99915903,0.00027207,0.99898400,0.00025292,7.10988222,4.86766766,0
3648735,0.15617960,0.06537830,0.02137498,0.84382040,1.00000000,0.99879298,0.00050141,1127.0,206.0,25.0,2.12688554,0.36097985,2.05339806,0.22482595,2.00000000,0.00000000,0.99944137,0.00024250,0.99924649,0.00022527,0.99905567,0.00023449,0.99933323,0.00029544,0.99916204,0.00027175,0.99899299,0.00023513,7.09759650,4.97426165,0
4570627,0.15365266,0.06400609,0.02187791,0.84634734,1.00000000,1.00072043,0.00042732,834.0,137.0,9.0,2.11151079,0.33326647,2.04379562,0.23764702,2.00000000,0.00000000,0.99952745,0.00021946,0.99936071,0.00022575,0.99921624,0.00011624,0.99943965,0.00025646,0.99928241,0.00025029,0.99915513,0.00014874,7.15530788,5.13853376,0
4570630,0.15555787,0.06471873,0.02175315,0.84444213,1.00000000,0.99826955,0.00045765,889.0,154.0,16.0,2.12598425,0.36105358,2.03896104,0.19350214,2.06250000,0.24206146,0.99956803,0.00031693,0.99940475,0.00027657,0.99914395,0.00028451,0.99949057,0.00033813,0.99934301,0.00028886,0.99907528,0.00029537,7.11196704,5.06509084,0
4570633,0.15336394,0.06514037,0.02144789,0.84663606,1.00000000,0.99974713,0.00165416,913.0,154.0,15.0,2.12814896,0.35951557,2.07142857,0.28162660,2.00000000,0.00000000,0.99925680,0.00153514,0.99900678,0.00147566,0.99865367,0.00112715,0.99911885,0.00155241,0.99886523,0.00148472,0.99854911,0.00114078,7.28115782,5.21036511,0
4570652,0.15758949,0.06383819,0.02109924,0.84241051,1.00000000,1.00006193,0.00033728,957.0,155.0,12.0,2.12016719,0.35584502,2.05161290,0.22124423,2.08333333,0.27638540,0.99961329,0.00015311,0.99948553,0.00014077,0.99935625,0.00020702,0.99954290,0.00019118,0.99942098,0.00018825,0.99923757,0.00031777,7.02498671,4.92199433,0
4570657,0.15643930,0.06219401,0.02074517,0.84356070,1.00000000,1.00059507,0.00067907,887.0,136.0,13.0,2.17812852,0.44016971,2.04411765,0.20535647,2.07692308,0.26646936,0.99921374,0.00027151,0.99891055,0.00026138,0.99866526,0.00025841,0.99905958,0.00035757,0.99877632,0.00033389,0.99851837,0.00036353,7.09964286,5.00018570,0
