@relation trainingSet

@attribute ID numeric
@attribute t1 numeric
@attribute t2 numeric
@attribute t3 numeric
@attribute t4 numeric
@attribute t5 numeric
@attribute t6 numeric
@attribute t7 numeric
@attribute t8 numeric
@attribute t9 numeric
@attribute t10 numeric
@attribute t11 numeric
@attribute t12 numeric
@attribute t13 numeric
@attribute t14 numeric
@attribute t15 numeric
@attribute t16 numeric
@attribute t17 numeric
@attribute t18 numeric
@attribute t19 numeric
@attribute t20 numeric
@attribute t21 numeric
@attribute t22 numeric
@attribute t23 numeric
@attribute t24 numeric
@attribute t25 numeric
@attribute t26 numeric
@attribute t27 numeric
@attribute t28 numeric
@attribute t29 numeric
@attribute t30 numeric
@attribute class {0,1}

@data
1871056,0.15623592,0.06631467,0.02270557,0.84376408,1.00000000,1.00061211,0.00021031,1120.0,205.0,32.0,2.13839286,0.38446288,2.05365854,0.22534262,2.03125000,0.17399264,0.99982229,0.00016936,0.99974235,0.00018549,0.99966629,0.00021866,0.99978953,0.00017702,0.99971666,0.00018766,0.99963997,0.00022028,7.23588040,5.14392296,1
1995519,0.15377025,0.06383558,0.02085885,0.84622975,1.00000000,1.00109169,0.00086917,1072.0,177.0,16.0,2.12406716,0.36967496,2.03389831,0.18096743,2.00000000,0.00000000,0.99899056,0.00037287,0.99864545,0.00037374,0.99826407,0.00019586,0.99879721,0.00047902,0.99849128,0.00045264,0.99815097,0.00027068,7.18741693,5.00298490,1
1996180,0.15459390,0.06331183,0.02059890,0.84540610,1.00000000,1.00027758,0.00030914,1140.0,196.0,26.0,2.13859649,0.38171101,2.06632653,0.24885201,2.03846154,0.19230769,0.99972249,0.00022732,0.99962119,0.00022797,0.99950507,0.00017303,0.99967365,0.00023780,0.99957970,0.00024195,0.99946024,0.00018111,7.22146254,5.14761326,1
2142522,0.15564346,0.06448349,0.02213228,0.84435654,1.00000000,0.99962705,0.00038731,1061.0,194.0,26.0,2.14514609,0.40221758,2.07216495,0.32892899,2.00000000,0.00000000,0.99982010,0.00038403,0.99977655,0.00037049,0.99984451,0.00032481,0.99978751,0.00038502,0.99975069,0.00037301,0.99982375,0.00032921,7.16578905,5.05165191,1
3102384,0.14453054,0.05950075,0.02192902,0.85546946,1.00000000,0.99994820,0.00009056,1000.0,238.0,123.0,2.24700000,0.52344150,2.40756303,0.58506046,2.50406504,0.56127010,0.99991451,0.00007865,0.99984954,0.00009402,0.99977336,0.00008588,0.99988707,0.00009849,0.99980463,0.00011750,0.99973474,0.00009885,7.89570447,5.71526100,1
3103227,0.15410272,0.06330659,0.02064440,0.84589728,1.00000000,0.99801949,0.00040166,885.0,131.0,10.0,2.11525424,0.34320534,2.01526718,0.12261358,2.00000000,0.00000000,0.99957179,0.00019243,0.99943413,0.00018437,0.99936364,0.00018955,0.99948595,0.00023165,0.99936679,0.00021410,0.99931444,0.00024402,7.22179951,5.07125153,1
3114167,0.15411062,0.06340332,0.02213024,0.84588938,1.00000000,1.00020991,0.00063678,1170.0,253.0,63.0,2.21025641,0.49118462,2.17786561,0.45767952,2.12698413,0.33295519,0.99923725,0.00029728,0.99887346,0.00034351,0.99848125,0.00035485,0.99905858,0.00041151,0.99870164,0.00043348,0.99834441,0.00041953,7.31354059,5.14794796,1
3114811,0.15664137,0.06632164,0.02206424,0.84335863,1.00000000,1.00033334,0.00016007,1155.0,243.0,29.0,2.20086580,0.50056171,2.12345679,0.35309505,2.03448276,0.18246561,0.99984482,0.00011087,0.99978836,0.00012266,0.99970833,0.00013958,0.99981557,0.00012142,0.99976138,0.00013333,0.99969538,0.00015633,7.40473824,5.18565566,1
3116412,0.15766735,0.06527964,0.02202531,0.84233265,1.00000000,1.00035583,0.00022419,1174.0,227.0,30.0,2.13543441,0.38660045,2.04845815,0.21473229,2.00000000,0.00000000,0.99973570,0.00010561,0.99964616,0.00011809,0.99954806,0.00012450,0.99968583,0.00012998,0.99960689,0.00013505,0.99950604,0.00015133,7.11054173,4.89595316,1
3118797,0.15517654,0.06463697,0.02104089,0.84482346,1.00000000,1.00057444,0.00081568,963.0,175.0,16.0,2.14018692,0.41276965,2.06857143,0.31329715,2.00000000,0.00000000,0.99902605,0.00041271,0.99868128,0.00046051,0.99852257,0.00032579,0.99883536,0.00052007,0.99851248,0.00053972,0.99834557,0.00056769,7.19160014,5.00333928,1
